Review ID,Valid,Topic,Selected Content,Sentiment,Errors
1,False,Room,"New, comfortable apartments",Positive,
1,False,Room,very clean beach,Positive,
1,False,Staff,extremely helpful and easy to communicate with,Positive,
1,False,Staff,easy to communicate with,Positive,
1,False,Location,close to the airport,Positive,
1,False,Food,tasty food on the first floor,Positive,
1,False,Food,comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday,Positive,
1,False,Off,Nothing,Negative,
1,False,Booking-issue,Nothing,Negative,
1,False,Taxi-issue,Nothing,Negative,
2,False,Room,The room was exceptionally clean with a really comfortable bed,Positive,
2,False,Staff,the staff was very nice and helpful,Positive,
2,False,Staff,all staff was very kind and helpful,Positive,
3,True,Location,the location is great and near the airport.,Positive,
4,True,Room,Clean,Positive,
5,True,Room,new,Positive,
5,True,Room,modern,Positive,
5,True,Room,spotless,Positive,
5,True,Staff,lovely,Positive,
5,True,Staff,management,Positive,
5,True,Location,very convenient location,Positive,
5,True,Location,a great beach,Positive,
6,False,Room,The room was exceptionally clean with a really comfortable bed,Positive,
7,False,Room,Nothing at all.,Negative,
8,False,Room,Nothing at all.,Negative,
8,False,Location,"nice location,",Positive,
8,False,Location,nothing,Negative,
9,True,Staff,helpful,Positive,
9,True,Staff,helped us with map .helps with looking after luggage.patient and understanding,Positive,
10,True,Room,comfortable bed,Positive,
10,True,Room,quiet location,Positive,
10,True,Location,Great modern room comfortable bed and quiet location.,Positive,
11,True,Room,The rooms are spacious and clean great to stay ..,Positive,
11,True,Staff,Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... ,Positive,
11,True,Staff,"Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile ",Positive,
11,True,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros ,Positive,
11,True,Food,Oh yeah the food is great to and very reasonable prices ..,Positive,
12,True,Room,Very clean and comfortable.,Positive,
12,True,Staff,The staff were exceptional. So helpful and friendly.,Positive,
12,True,Staff,Went out of their way for us.,Positive,
12,True,Food,The breakfast was lovely with room service too.,Positive,
13,False,Room,The room was to my taste.,Positive,
13,False,Staff,"The staff are so welcoming, we felt like staying with family.",Positive,
13,False,Staff,We had a few issues with the air conditioning,Negative,
13,False,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",Positive,
14,False,Room,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair.,Positive,
14,False,Room,The receptionist didn't speak English properly,Negative,
14,False,Staff,the receptionist didn't speak English properly,Negative,
14,False,Location,There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,Positive,
15,False,Room,The room was spotless.,Positive,
15,False,Staff,The staff make it,Negative,
15,False,Staff,particularly reception and the dining room.,Positive,
15,False,Location,"Second visit - Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.",Neutral,
15,False,Location,though for a stay for more than a few days,Negative,
15,False,Location,it is a bit on the edge of Larnaca,Negative,
16,False,Room,the room was spacious,Positive,
16,False,Room,they are clean,Positive,
16,False,Room,the window view is nice too,Positive,
16,False,Food,"the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",Positive,
17,False,Room,Our room had a balcony with great view of the sea and surrounding area.,Positive,
17,False,Staff,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,Positive,
17,False,Location,clean and cozy hotel,Negative,
17,False,Location,close to sandy beach and the airport.,Positive,
18,True,Staff,with extremely friendly reception and dining staff,Positive,
18,True,Staff,"very bright, nice seating areas inside and out.",Positive,
18,True,Location,Bus every 20 minutes to the centre of Larnaka.,Negative,
19,False,Room,The room was clean and comfortable.,Positive,
19,False,Staff,The staff were friendly and helpful.,Positive,
19,False,Location,"Nice location, close to the airport.",Positive,
19,False,Location,Good location for restaurants.,Negative,
20,True,Room,clean,Positive,
20,True,Location,location,Positive,
