Review ID,Valid,Topic,Selected Content,Sentiment,Errors
21,True,Staff,the staff and the owners,Positive,
21,True,Staff,Richard (the chef) is personally buying super fresh food for the restaurant.,Positive,
21,True,Food,Everything from breakfast to dinner is absolutely delicious.,Positive,
22,False,Room,"Room was perfect, looked new",Positive,
22,False,Room,the room had a terrible smell,,
22,False,Room,Bed was really comfortable,Positive,
22,False,Room,lots of room for me to put my things,Positive,
22,False,Room,Fridge could have been put on beforehand so it was cold,Negative,
22,False,Room,the shower took a while to get hot,Negative,
22,False,Room,had to have a cold shower one morning as i needed to get out early,Negative,
22,False,Staff,The restaurant area is nice and the staff very accomodating.,Positive,
22,False,Food,"Ordered pizza one night and was not great, too stodgy",Negative,
22,False,Food,I'm sure other food is better,Positive,
23,True,Room,the beds were very comfortable,Positive,
24,True,Room,the mattress,Positive,
25,True,Room,Clean and quiet,Positive,
26,False,Room,The room was dirty,Negative,
26,False,Staff,staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing,Positive,
26,False,Location,Great location near the beach.,Positive,
26,False,Location,and the location is also near the lake.,Positive,
26,False,Food,The food is good and not to pricey.,Positive,
27,True,Room,so comfortable,Positive,
27,True,Room,clean,Positive,
27,True,Staff,friendly staff,Positive,
27,True,Location,perfect for overnight stay before flying from Larnaca Airport.,Positive,
27,True,Off,nothing,Negative,
28,True,Staff,Staff is very polite and caring.,Positive,
28,True,Staff,Thank you,Negative,
28,True,Location,Surrounding buildings are under construction and poorly lit.,Negative,
29,False,Room,I would have liked an ironing board in the room.,Negative,
29,False,Staff,staff was wonderful. very accommodating and the food service and quality was very good.,Positive,
29,False,Staff,very clean functional rooms. lovely and very helpful staff.,Positive,
29,False,Food,the food service and quality was very good.,Positive,
29,False,Off,this was our second stay.,Negative,
30,False,Room,The room was dirty,Negative,
30,False,Staff,staff were friendly,Positive,
30,False,Staff,Service was great.,Positive,
30,False,Location,Great location near the beach.,Positive,
30,False,Location,Great location for restaurants.,Positive,
30,False,Location,Great location for a short drive to the airport.,Positive,
31,False,Staff,friendly staff,Positive,
31,False,Location,Very close to Mackenzy beach & Larnaca airport.,Positive,
31,False,Location,Great location near the beach.,Positive,
31,False,Food,food excellent & reasonably priced,Positive,
32,True,Room,The bed was great.,Positive,
32,True,Staff,Staff were so kind.,Positive,
33,True,Room,super clean room,Positive,
33,True,Room,modern furniture,Positive,
33,True,Staff,Very helpful staff,Positive,
33,True,Staff,staff,Negative,
33,True,Food,Option to have a good breakfast within the hotel,Positive,
34,False,Room,room was spacious,Positive,
34,False,Room,beds were comfortable,Positive,
34,False,Room,the room was dirty,Negative,
34,False,Location,ideal location as close to the airport a,Positive,
34,False,Location,location,Positive,
34,False,Price,value for money ,Positive,
35,False,Room,heating water,Negative,
35,False,Room,hot water,Positive,
35,False,Booking-issue,problem with heating water,Negative,
36,False,Room,The room was smaller than I expected,Negative,
36,False,Room,but as we were only there a few days it was acceptable,,
36,False,Room,"I am very fussy about beds and pillows, but I had no problem as they were very clean, and the bed was really comfortable",Positive,
36,False,Staff,The receptionist on check in was very good,Positive,
36,False,Staff,and explained the information very clearly to us,Positive,
36,False,Location,"We were on 4 days stop over, if on main holiday would book a larger hotel",,
36,False,Location,but it was only a 10-minute walk to the sea front,Positive,
36,False,Location,The location in a small side street,Negative,
36,False,Food,"The chef was very polite, and his food was excellent",Positive,
36,False,Food,he had passion and it showed in his presentation,Positive,
36,False,Check-in,The receptionist on check in was very good,Positive,
36,False,Check-in,and explained the information very clearly to us,Positive,
36,False,Booking-issue,We may have missed it but there was no opening and closing times of the bar on display,Negative,
36,False,Booking-issue,Nothing except not showing opening times,Negative,
37,False,Staff,lovely caring staff.,Positive,
37,False,Staff,Nothing really.,Negative,
37,False,Location,Perfect if you are looking for somewhere close to Larnaca airport,Positive,
37,False,Location,The bus to the airport is close by and runs every 15 minutes.,Neutral,
37,False,Food,food was good too!,Positive,
38,True,Room,great rooms,Positive,
38,True,Location,perfect location prior to our early morning flight,Positive,
39,True,Room,clean and spacious,Positive,
40,True,Room,The room was bijou,Negative,
40,True,Room,"but for the money, served it’s purpose adequately",Positive,
40,True,Location,"Nice location, not far from Airport and Mackenzie beach.",Positive,
