ID,Topic,Original A,B,Vote
1,Taxi-issue,no_evident_not_shuttle_taxi,airport,
2,Taxi-issue,no_evident_not_shuttle_taxi,awful_experience,
3,Taxi-issue,no_evident_not_shuttle_taxi,better_indication,
4,Taxi-issue,no_evident_not_shuttle_taxi,chaotic_taxi,
5,Taxi-issue,no_evident_not_shuttle_taxi,cheating_taxi,
6,Taxi-issue,no_evident_not_shuttle_taxi,helpless_owner,
7,Taxi-issue,no_evident_not_shuttle_taxi,included_in_bill,
8,Taxi-issue,no_evident_not_shuttle_taxi,independent_of_hotel,
9,Taxi-issue,no_evident_not_shuttle_taxi,late_taxi,
10,Taxi-issue,no_evident_not_shuttle_taxi,near_airport,
11,Taxi-issue,no_evident_not_shuttle_taxi,negotiate_price,
12,Taxi-issue,no_evident_not_shuttle_taxi,no_taxi,
13,Taxi-issue,no_evident_not_shuttle_taxi,no_warning,
14,Taxi-issue,no_evident_not_shuttle_taxi,rip_off,
15,Taxi-issue,no_evident_not_shuttle_taxi,ripped_off,
16,Taxi-issue,no_evident_not_shuttle_taxi,short_drive,
17,Taxi-issue,no_evident_not_shuttle_taxi,stilling_money,
18,Taxi-issue,no_evident_not_shuttle_taxi,too_late,
19,Taxi-issue,no_evident_not_shuttle_taxi,uncomfortable_transport,
20,Taxi-issue,no_evident_not_waiting_taxi,airport,
21,Taxi-issue,no_evident_not_waiting_taxi,awful_experience,
22,Taxi-issue,no_evident_not_waiting_taxi,better_indication,
23,Taxi-issue,no_evident_not_waiting_taxi,chaotic_taxi,
24,Taxi-issue,no_evident_not_waiting_taxi,cheating_taxi,
25,Taxi-issue,no_evident_not_waiting_taxi,helpless_owner,
26,Taxi-issue,no_evident_not_waiting_taxi,included_in_bill,
27,Taxi-issue,no_evident_not_waiting_taxi,independent_of_hotel,
28,Taxi-issue,no_evident_not_waiting_taxi,late_taxi,
29,Taxi-issue,no_evident_not_waiting_taxi,near_airport,
30,Taxi-issue,no_evident_not_waiting_taxi,negotiate_price,
31,Taxi-issue,no_evident_not_waiting_taxi,no_taxi,
32,Taxi-issue,no_evident_not_waiting_taxi,no_warning,
33,Taxi-issue,no_evident_not_waiting_taxi,rip_off,
34,Taxi-issue,no_evident_not_waiting_taxi,ripped_off,
35,Taxi-issue,no_evident_not_waiting_taxi,short_drive,
36,Taxi-issue,no_evident_not_waiting_taxi,stilling_money,
37,Taxi-issue,no_evident_not_waiting_taxi,too_late,
38,Taxi-issue,no_evident_not_waiting_taxi,uncomfortable_transport,
