ID,Prompt,PhraseA,PhraseB,Test 2
1,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is unlabeled_shampoo_dispenser_for_this_price. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,unlabeled_shampoo_dispenser_for_this_price,Yes
2,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is shampoo_seem_cheap_considering_hotel_cost. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,shampoo_seem_cheap_considering_hotel_cost,Yes
3,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is guesthouse_but_price_like_hotel. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,guesthouse_but_price_like_hotel,Yes
4,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is for_money_you_pay_you_get_one_small_water_bottle. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,for_money_you_pay_you_get_one_small_water_bottle,Yes
5,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is expensive_for_what_you_get. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,expensive_for_what_you_get,Yes
6,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is expensive_rate_for_what_offer. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,expensive_rate_for_what_offer,Yes
7,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is overpriced_for_facility. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,overpriced_for_facility,Yes
8,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is meal_not_include_in_price. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,meal_not_include_in_price,No
9,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is high_price_for_not_enough_comfort_room. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,high_price_for_not_enough_comfort_room,Yes
10,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is high_price_for_small_room. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,high_price_for_small_room,No
11,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is expensive_hotel. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,expensive_hotel,Yes
12,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is expensive_for_average_hotel. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,expensive_for_average_hotel,Yes
13,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is expensive_for_3_star_hotel. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,expensive_for_3_star_hotel,Yes
14,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is unlabeled_shampoo_dispenser_for_this_price. Phrase A is no_evident_not_great_price.
",no_evident_not_great_price,unlabeled_shampoo_dispenser_for_this_price,Yes
15,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is shampoo_seem_cheap_considering_hotel_cost. Phrase A is no_evident_not_great_price.
",no_evident_not_great_price,shampoo_seem_cheap_considering_hotel_cost,Yes
16,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is guesthouse_but_price_like_hotel. Phrase A is no_evident_not_great_price.
",no_evident_not_great_price,guesthouse_but_price_like_hotel,Yes
17,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is for_money_you_pay_you_get_one_small_water_bottle. Phrase A is no_evident_not_great_price.
",no_evident_not_great_price,for_money_you_pay_you_get_one_small_water_bottle,Yes
18,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is expensive_for_what_you_get. Phrase A is no_evident_not_great_price.
",no_evident_not_great_price,expensive_for_what_you_get,Yes
19,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is expensive_rate_for_what_offer. Phrase A is no_evident_not_great_price.
",no_evident_not_great_price,expensive_rate_for_what_offer,Yes
20,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is overpriced_for_facility. Phrase A is no_evident_not_great_price.
",no_evident_not_great_price,overpriced_for_facility,Yes
21,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is meal_not_include_in_price. Phrase A is no_evident_not_great_price.
",no_evident_not_great_price,meal_not_include_in_price,No
22,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is high_price_for_not_enough_comfort_room. Phrase A is no_evident_not_great_price.
",no_evident_not_great_price,high_price_for_not_enough_comfort_room,Yes
23,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is high_price_for_small_room. Phrase A is no_evident_not_great_price.
",no_evident_not_great_price,high_price_for_small_room,Yes
24,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is expensive_hotel. Phrase A is no_evident_not_great_price.
",no_evident_not_great_price,expensive_hotel,Yes
25,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is expensive_for_average_hotel. Phrase A is no_evident_not_great_price.
",no_evident_not_great_price,expensive_for_average_hotel,Yes
26,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is expensive_for_3_star_hotel. Phrase A is no_evident_not_great_price.
",no_evident_not_great_price,expensive_for_3_star_hotel,Yes
27,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is unlabeled_shampoo_dispenser_for_this_price. Phrase A is no_evident_not_value_for_money.
",no_evident_not_value_for_money,unlabeled_shampoo_dispenser_for_this_price,Yes
28,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is shampoo_seem_cheap_considering_hotel_cost. Phrase A is no_evident_not_value_for_money.
",no_evident_not_value_for_money,shampoo_seem_cheap_considering_hotel_cost,Yes
29,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is guesthouse_but_price_like_hotel. Phrase A is no_evident_not_value_for_money.
",no_evident_not_value_for_money,guesthouse_but_price_like_hotel,Yes
30,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is for_money_you_pay_you_get_one_small_water_bottle. Phrase A is no_evident_not_value_for_money.
",no_evident_not_value_for_money,for_money_you_pay_you_get_one_small_water_bottle,Yes
31,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is expensive_for_what_you_get. Phrase A is no_evident_not_value_for_money.
",no_evident_not_value_for_money,expensive_for_what_you_get,Yes
