Review ID,Valid,Topic,Selected Content,Sentiment,Errors
1,False,Room,"New, comfortable apartments",Positive,
1,False,Room,to very clean beach,Positive,
1,False,Staff,extremely helpful and easy to communicate with,Positive,
1,False,Staff,Staff is extremely helpful and easy to communicate with ,Negative,
1,False,Location,close to the airport,Positive,
1,False,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Positive,
1,False,Off,Nothing at all.,Negative,
2,False,Room,"The room was very clean, well decorated and modern, although not big.",Positive,
2,False,Room,Although,Neutral,
2,False,Staff,The staff was very nice and helpful!,Positive,
2,False,Staff,and all staff was very kind and helpful.,Positive,
2,False,Food,"the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus.",Positive,
2,False,Off,"I like hotels with a family atmosphere, cozy and not big.",Negative,
3,False,Room,Nothing at all.,Negative,
3,False,Location,the location is great and near the airport. bus stop is very close.,Positive,
4,True,Room,Clean,Positive,
4,True,Location,Great stuff,Positive,
4,True,Location,Great Quality/price,Positive,
4,True,Price,Great Quality/price,Positive,
5,False,Room,"new, modern and spotless",Positive,
5,False,Room,spotless,Positive,
5,False,Staff,lovely management,Positive,
5,False,Location,very convenient location,Positive,
5,False,Location,a great beach,Positive,
5,False,Off,"new, modern and spotless",Negative,
6,False,Room,The room was exceptionally clean with a really comfortable bed,Positive,
6,False,Off,Surrounding buildings are under construction and poorly lit.,Negative,
7,False,Room,The room was spotless.,Positive,
8,True,Room,"renovated,",Positive,
8,True,Staff,lovely personal,Positive,
8,True,Staff,nothing,Negative,
8,True,Location,nice location,Positive,
8,True,Off,nothing,Negative,
9,True,Staff,such helpful hosts.helped us with map .helps with looking after luggage.patient and understanding,Positive,
9,True,Staff,couldn't eat breakfast due to dietary restrictions-but very helpful host showed us how nearby bus takes to town-cntre (and airport by the way so no need for 21 euro taxi),Positive,
9,True,Food,maybe possibility of purchasing fresh fruit or veg,Negative,
10,True,Room,Great modern room,Positive,
10,True,Room,comfortable bed,Positive,
10,True,Location,quiet location,Positive,
11,True,Room,The rooms are spacious and clean great to stay ..,Positive,
11,True,Staff,Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... ,Positive,
11,True,Staff,"Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile ",Positive,
11,True,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros ,Positive,
11,True,Location,I don't think I need to mention where I'll be staying next time I'm in Larnaka.. ,Negative,
11,True,Food,Oh yeah the food is great to and very reasonable prices ..,Positive,
11,True,Price,Oh yeah the food is great to and very reasonable prices ..,Positive,
12,True,Staff,The staff were exceptional.,Positive,
12,True,Staff,So helpful and friendly.,Positive,
12,True,Staff,Went out of their way for us.,Positive,
12,True,Staff,The breakfast was lovely with room service too.,Positive,
12,True,Food,The breakfast was lovely with room service too.,Positive,
12,True,Off,Couldn’t stay longer,Negative,
13,False,Room,The room was spotless.,Positive,
13,False,Room,"lovely and new, very clean and comfortable",Negative,
13,False,Staff,"The staff are so welcoming, we felt like staying with family.",Positive,
13,False,Staff,We stayed 1 week and enjoyed it very much.,Negative,
13,False,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",Positive,
13,False,Food,coffee shops,Positive,
13,False,Off,Leaving..in fact just re booked the hotel for 2 weeks time,Negative,
14,True,Room,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair.,Positive,
14,True,Room,There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,Positive,
14,True,Staff,The receptionist didn't speak English properly,Negative,
14,True,Staff,"and you have a feeling that people are living in the hotel, rather than staying at a hotel",Negative,
14,True,Location,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair.,Positive,
14,True,Location,There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,Positive,
15,True,Staff,The staff make it,Positive,
15,True,Staff,particularly reception and the dining room.,Positive,
15,True,Location,"Second visit - Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.",Negative,
15,True,Food,The staff make it,Positive,
15,True,Off,Nothing really,Negative,
15,True,Off,it is a bit on the edge of Larnaca - with frequent busses to the centre.,Negative,
16,False,Room,the room was clean,Positive,
16,False,Room,the window view is nice too,Positive,
16,False,Location,great location for restaurants,Positive,
16,False,Location,great location for a short drive to the airport,Positive,
16,False,Food,"the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",Negative,
17,False,Room,Our room had a balcony with great view of the sea and surrounding area.,Positive,
17,False,Staff,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,Positive,
17,False,Location,Clean and cozy hotel with very friendly owner close to sandy beach and the airport.,Positive,
18,True,Staff,extremely friendly reception and dining staff,Positive,
18,True,Staff,"very bright, nice seating areas inside and out",Positive,
18,True,Location,Bus every 20 minutes to the centre of Larnaka.,Negative,
18,True,Food,Meals well prepared and good value.,Positive,
18,True,Price,considering the price,Negative,
19,False,Room,"New, comfortable apartments, close to the airport",Positive,
19,False,Location,close to the airport,Positive,
19,False,Location,to very clean beach.,Negative,
19,False,Off,Surrounding buildings are under construction and poorly lit.,Negative,
20,False,(parse failed),,,"json_parse_error: Expecting ',' delimiter: line 1 column 46 (char 45)"
