Timestamp,Run,ID,PhraseA,PhraseB,Prompt,RawOutput
2026-08-10 22:44:06,2,8,no_evident_not_great_quality,meal_not_include_in_price,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is meal_not_include_in_price. Phrase A is no_evident_not_great_quality.
",No
2026-08-10 22:44:06,2,7,no_evident_not_great_quality,overpriced_for_facility,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is overpriced_for_facility. Phrase A is no_evident_not_great_quality.
",Yes
2026-08-10 22:44:06,2,3,no_evident_not_great_quality,guesthouse_but_price_like_hotel,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is guesthouse_but_price_like_hotel. Phrase A is no_evident_not_great_quality.
",Yes
2026-08-10 22:44:06,2,2,no_evident_not_great_quality,shampoo_seem_cheap_considering_hotel_cost,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is shampoo_seem_cheap_considering_hotel_cost. Phrase A is no_evident_not_great_quality.
",Yes
2026-08-10 22:44:06,2,6,no_evident_not_great_quality,expensive_rate_for_what_offer,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is expensive_rate_for_what_offer. Phrase A is no_evident_not_great_quality.
",Yes
2026-08-10 22:44:06,2,5,no_evident_not_great_quality,expensive_for_what_you_get,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is expensive_for_what_you_get. Phrase A is no_evident_not_great_quality.
",Yes
2026-08-10 22:44:07,2,1,no_evident_not_great_quality,unlabeled_shampoo_dispenser_for_this_price,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is unlabeled_shampoo_dispenser_for_this_price. Phrase A is no_evident_not_great_quality.
",Yes
2026-08-10 22:44:07,2,4,no_evident_not_great_quality,for_money_you_pay_you_get_one_small_water_bottle,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is for_money_you_pay_you_get_one_small_water_bottle. Phrase A is no_evident_not_great_quality.
",Yes
2026-08-10 22:44:08,2,9,no_evident_not_great_quality,high_price_for_not_enough_comfort_room,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is high_price_for_not_enough_comfort_room. Phrase A is no_evident_not_great_quality.
",Yes
2026-08-10 22:44:08,2,10,no_evident_not_great_quality,high_price_for_small_room,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is high_price_for_small_room. Phrase A is no_evident_not_great_quality.
",No
2026-08-10 22:44:08,2,11,no_evident_not_great_quality,expensive_hotel,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is expensive_hotel. Phrase A is no_evident_not_great_quality.
",Yes
2026-08-10 22:44:08,2,12,no_evident_not_great_quality,expensive_for_average_hotel,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is expensive_for_average_hotel. Phrase A is no_evident_not_great_quality.
",Yes
2026-08-10 22:44:08,2,13,no_evident_not_great_quality,expensive_for_3_star_hotel,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is expensive_for_3_star_hotel. Phrase A is no_evident_not_great_quality.
",Yes
2026-08-10 22:44:08,2,14,no_evident_not_great_price,unlabeled_shampoo_dispenser_for_this_price,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is unlabeled_shampoo_dispenser_for_this_price. Phrase A is no_evident_not_great_price.
",Yes
2026-08-10 22:44:08,2,15,no_evident_not_great_price,shampoo_seem_cheap_considering_hotel_cost,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is shampoo_seem_cheap_considering_hotel_cost. Phrase A is no_evident_not_great_price.
",Yes
2026-08-10 22:44:08,2,16,no_evident_not_great_price,guesthouse_but_price_like_hotel,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is guesthouse_but_price_like_hotel. Phrase A is no_evident_not_great_price.
",Yes
2026-08-10 22:44:09,2,17,no_evident_not_great_price,for_money_you_pay_you_get_one_small_water_bottle,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is for_money_you_pay_you_get_one_small_water_bottle. Phrase A is no_evident_not_great_price.
",Yes
2026-08-10 22:44:09,2,18,no_evident_not_great_price,expensive_for_what_you_get,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is expensive_for_what_you_get. Phrase A is no_evident_not_great_price.
",Yes
2026-08-10 22:44:09,2,20,no_evident_not_great_price,overpriced_for_facility,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is overpriced_for_facility. Phrase A is no_evident_not_great_price.
",Yes
2026-08-10 22:44:09,2,19,no_evident_not_great_price,expensive_rate_for_what_offer,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is expensive_rate_for_what_offer. Phrase A is no_evident_not_great_price.
",Yes
2026-08-10 22:44:09,2,22,no_evident_not_great_price,high_price_for_not_enough_comfort_room,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is high_price_for_not_enough_comfort_room. Phrase A is no_evident_not_great_price.
",Yes
2026-08-10 22:44:09,2,21,no_evident_not_great_price,meal_not_include_in_price,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is meal_not_include_in_price. Phrase A is no_evident_not_great_price.
",No
2026-08-10 22:44:09,2,23,no_evident_not_great_price,high_price_for_small_room,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is high_price_for_small_room. Phrase A is no_evident_not_great_price.
",Yes
2026-08-10 22:44:09,2,24,no_evident_not_great_price,expensive_hotel,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is expensive_hotel. Phrase A is no_evident_not_great_price.
",Yes
