ID,Prompt,PhraseA,PhraseB,Test 2
4405,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is limited_facility. Phrase A is have_evident_not_encourage_to_use_deckchair.
",have_evident_not_encourage_to_use_deckchair,limited_facility,Yes
1747,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is not_easy_parking. Phrase A is have_evident_low_doorway_leading_to_elevator.
",have_evident_low_doorway_leading_to_elevator,not_easy_parking,Yes
4145,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is pool_close. Phrase A is have_evident_young_hotel.
",have_evident_young_hotel,pool_close,No
2173,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is not_EU_regulation_ramp. Phrase A is have_evident_limited_parking.
",have_evident_limited_parking,not_EU_regulation_ramp,Yes
1086,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is main_door_not_close. Phrase A is have_evident_no_safety_strip_on_stair.
",have_evident_no_safety_strip_on_stair,main_door_not_close,Yes
2860,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is badly_maintain_hotel_installation. Phrase A is have_evident_feel_cold_inviting.
",have_evident_feel_cold_inviting,badly_maintain_hotel_installation,Yes
564,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is head_bump_doorway. Phrase A is have_evident_nothing_to_do.
",have_evident_nothing_to_do,head_bump_doorway,Yes
2002,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is better_remove_pool_photo. Phrase A is have_evident_steep_ramp.
",have_evident_steep_ramp,better_remove_pool_photo,Yes
3028,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is not_convenient_parking. Phrase A is have_evident_badly_maintain_hotel_installation.
",have_evident_badly_maintain_hotel_installation,not_convenient_parking,Yes
2335,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is old_furniture. Phrase A is have_evident_no_designated_parking.
",have_evident_no_designated_parking,old_furniture,No
1293,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is not_much_parking. Phrase A is have_evident_not_much_parking.
",have_evident_not_much_parking,not_much_parking,Yes
3590,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is no_bar_on_off_season. Phrase A is have_evident_elevator_need_cleaning.
",have_evident_elevator_need_cleaning,no_bar_on_off_season,No
4451,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is not_EU_regulation_ramp. Phrase A is have_evident_not_encourage_to_use_billiard.
",have_evident_not_encourage_to_use_billiard,not_EU_regulation_ramp,Yes
2479,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is not_encourage_to_use_billiard. Phrase A is have_evident_issue_with_internet.
",have_evident_issue_with_internet,not_encourage_to_use_billiard,Yes
4334,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is badly_maintain_hotel_installation. Phrase A is have_evident_not_encourage_to_use_swimming_pool.
",have_evident_not_encourage_to_use_swimming_pool,badly_maintain_hotel_installation,Yes
65,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is not_encourage_to_use_swimming_pool. Phrase A is have_evident_not_big_hotel.
",have_evident_not_big_hotel,not_encourage_to_use_swimming_pool,Yes
2453,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is no_pool_on_off_season. Phrase A is have_evident_issue_with_internet.
",have_evident_issue_with_internet,no_pool_on_off_season,No
849,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is minimalistic_hotel. Phrase A is have_evident_not_convenient_parking.
",have_evident_not_convenient_parking,minimalistic_hotel,Yes
1101,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is not_EU_regulation_ramp. Phrase A is have_evident_no_safety_strip_on_stair.
",have_evident_no_safety_strip_on_stair,not_EU_regulation_ramp,Yes
2167,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is need_renovation_in_lobby. Phrase A is have_evident_limited_parking.
",have_evident_limited_parking,need_renovation_in_lobby,No
946,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is slow_elevator. Phrase A is have_evident_main_door_slam_at_night.
",have_evident_main_door_slam_at_night,slow_elevator,No
877,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is no_swimming_pool. Phrase A is have_evident_main_door_not_close.
",have_evident_main_door_not_close,no_swimming_pool,Yes
1274,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is not_big_hotel. Phrase A is have_evident_not_much_parking.
",have_evident_not_much_parking,not_big_hotel,Yes
2232,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is outside_view_not_excellent. Phrase A is have_evident_street_parking.
",have_evident_street_parking,outside_view_not_excellent,No
