ID,Prompt,PhraseA,PhraseB,Test 1
20953,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is feel_welcome_from_arrival_moment. Phrase A is no_evident_not_spotless_hotel.
",no_evident_not_spotless_hotel,feel_welcome_from_arrival_moment,Yes
3649,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is beautifully_kept_hotel. Phrase A is no_evident_not_spacious_hotel.
",no_evident_not_spacious_hotel,beautifully_kept_hotel,No
820,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is welcoming_hotel. Phrase A is no_evident_not_not_big_hotel.
",no_evident_not_not_big_hotel,welcoming_hotel,No
24300,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is cozy_atmosphere. Phrase A is no_evident_not_as_expected_hotel.
",no_evident_not_as_expected_hotel,cozy_atmosphere,No
9013,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is clean_hotel. Phrase A is no_evident_not_small_hotel_which_we_like.
",no_evident_not_small_hotel_which_we_like,clean_hotel,No
8025,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is brand_new_fitting. Phrase A is no_evident_not_offered_food.
",no_evident_not_offered_food,brand_new_fitting,No
7315,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is pet_friendly. Phrase A is no_evident_not_quiet_hotel.
",no_evident_not_quiet_hotel,pet_friendly,No
4573,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is feel_welcome_from_arrival_moment. Phrase A is no_evident_not_allow_stay_with_animal.
",no_evident_not_allow_stay_with_animal,feel_welcome_from_arrival_moment,Yes
24133,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is clean_hotel. Phrase A is no_evident_not_as_expected_hotel.
",no_evident_not_as_expected_hotel,clean_hotel,Yes
3359,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is airy_hotel. Phrase A is no_evident_not_lovely_little_hotel.
",no_evident_not_lovely_little_hotel,airy_hotel,Yes
22175,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is fantastic_service. Phrase A is no_evident_not_friendly_hotel.
",no_evident_not_friendly_hotel,fantastic_service,No
24271,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is innovative_hotel. Phrase A is no_evident_not_as_expected_hotel.
",no_evident_not_as_expected_hotel,innovative_hotel,Yes
29235,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is no_extra_charge_for_dog. Phrase A is no_evident_not_comfortable_hall.
",no_evident_not_comfortable_hall,no_extra_charge_for_dog,No
17871,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is small_hotel_which_we_like. Phrase A is no_evident_not_welcoming_hotel.
",no_evident_not_welcoming_hotel,small_hotel_which_we_like,No
2849,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is stunning_hotel. Phrase A is no_evident_not_everything_spotless_clean.
",no_evident_not_everything_spotless_clean,stunning_hotel,No
