Review ID,Valid,Topic,Selected Content,Sentiment,Errors
1,True,Room,"New, comfortable apartments",Positive,
1,True,Room,close to the airport,Positive,
1,True,Room,to very clean beach,Positive,
1,True,Staff,Staff is extremely helpful and easy to communicate with ,Positive,
1,True,Food,Tasty food on the first floor,Positive,
1,True,Food,comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday,Positive,
2,False,Room,"The room was very clean, well decorated and modern, although not big.",Positive,
2,False,Room,"I like hotels with a family atmosphere, cozy and not big.",Positive,
2,False,Staff,The staff was very nice and helpful!,Positive,
2,False,Staff,all staff was very kind and helpful.,Positive,
2,False,Food,"Also, the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus.",Positive,
2,False,Price,The price was reasonable for the quality of service.,Positive,
2,False,Facility,The facility was clean and well-maintained.,Positive,
2,False,Check-in,We had a smooth check-in process.,Positive,
2,False,Check-out,The check-out process was quick and easy.,Positive,
2,False,Booking-issue,"There was an issue with the booking, but it was resolved quickly.",Positive,
3,False,(parse failed),,,"json_parse_error: Expecting ',' delimiter: line 1 column 188 (char 187)"
4,True,Room,Clean,Positive,
4,True,Staff,Great stuff,Positive,
4,True,Location,Clean,Positive,
4,True,Price,Great Quality/price,Positive,
5,True,Room,with very comfortable beds,Positive,
5,True,Room,in a very convenient location.,Positive,
5,True,Room,An easy stroll to numerous nice restaurants and a great beach.,Positive,
6,False,Room,The room was exceptionally clean.,Positive,
7,False,Location,Great location for restaurants.,,
7,False,Location,Great location for a short drive to the airport.,,
7,False,Staff,great,,
8,True,Room,few days to stay,Positive,
8,True,Staff,lovely personal,Positive,
8,True,Staff,nothing,Negative,
8,True,Location,nice location,Positive,
8,True,Location,renovated,Positive,
9,False,Staff,such helpful hosts.helped us with map .helps with looking after luggage.patient and understanding,Positive,
9,False,Staff,couldn't eat breakfast due to dietary restrictions-but very helpful host showed us how nearby bus takes to town-cntre (and airport by the way so no need for 21 euro taxi),Negative,
9,False,Food,couldn't eat breakfast due to dietary restrictions,Negative,
9,False,Location,town-cntre (and airport by the way so no need for 21 euro taxi),Positive,
10,True,Room,comfortable bed,Positive,
10,True,Location,quiet location,Positive,
11,False,(parse failed),,,"json_parse_error: Expecting ',' delimiter: line 1 column 960 (char 959)"
12,True,Room,Very clean and comfortable.,Positive,
12,True,Staff,So helpful and friendly.,Positive,
12,True,Staff,Went out of their way for us.,Positive,
12,True,Staff,The staff were exceptional.,Positive,
12,True,Location,Easy to get to and park.,Positive,
12,True,Food,The breakfast was lovely with room service too.,Positive,
13,False,(parse failed),,,json_parse_error: Unterminated string starting at: line 1 column 2833 (char 2832)
14,True,Staff,The receptionist didn't speak English properly,Negative,
14,True,Staff,"you have a feeling that people are living in the hotel, rather than staying at a hotel",Negative,
14,True,Location,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair,Positive,
14,True,Location,There are some restaurants and bars next to the beach just 10min of walking distance from the hotel,Positive,
15,False,Staff,The staff make it - particularly reception and the dining room.,Positive,
15,False,Location,"Second visit - Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.",Positive,
15,False,Location,"Nothing really, though for a stay for more than a few days - it is a bit on the edge of Larnaca - with frequent busses to the centre.",,
16,False,Room,"They are spacious, clean",Positive,
16,False,Room,The room was great,,
16,False,Food,"the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",Positive,
16,False,Food,The restaurant downstairs is amazing,Negative,
17,True,Room,Our room had a balcony with great view of the sea and surrounding area.,Positive,
17,True,Staff,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,Positive,
17,True,Location,close to sandy beach,Positive,
17,True,Location,and the airport,Positive,
17,True,Location,with great view of the sea and surrounding area.,Positive,
18,True,Staff,"A family run hotel, with extremely friendly reception and dining staff",Positive,
18,True,Staff,"very bright, nice seating areas inside and out.",Positive,
18,True,Staff,Meals well prepared and good value.,Positive,
18,True,Location,Bus every 20 minutes to the centre of Larnaka.,Positive,
19,False,Room,None,,
19,False,Staff,Close to airport,Positive,
19,False,Location,Close to airport,Positive,
20,False,Location,location,Positive,
20,False,Location,clean,Positive,
20,False,Location,friendly staff,Positive,
20,False,Staff,Friendly staff,Positive,
