ID,Topic,Original A,B,Vote
1,Room,no_evident_not_Netflix,corridor,
2,Room,no_evident_not_accurate_room,no_pillows,
3,Room,no_evident_not_adequate_size,coffee_sachets,
4,Room,no_evident_not_air_con,broken_lock,
5,Room,no_evident_not_air_con,one_nescafe_bag,
6,Room,no_evident_not_airy_room,no_simple_sheets,
7,Room,no_evident_not_amazing_room,together_shower,
8,Room,no_evident_not_balcony,no_water_bottle,
9,Room,no_evident_not_balcony_overlooking_Makenzy_and_Salt_Lake,good_evening,
10,Room,no_evident_not_balcony_overlooking_Makenzy_and_Salt_Lake,no_plasterboard,
11,Room,no_evident_not_balcony_room,not_big_room,
12,Room,no_evident_not_balcony_with_courtyard_view,could_be_bigger,
13,Room,no_evident_not_balcony_with_courtyard_view,fatter,
14,Room,no_evident_not_basic_room,disturbing_sewage,
15,Room,no_evident_not_beautiful_room,adequate_room,
16,Room,no_evident_not_beautiful_room,refill_service_needed,
17,Room,no_evident_not_beautiful_view,bad_pillows,
18,Room,no_evident_not_bed,less_convenient_toilet,
19,Room,no_evident_not_best_hotel_bed,no_body_soap,
20,Room,no_evident_not_big_bathroom,no_pillows,
21,Room,no_evident_not_bottle_of_water_provided,showers_door,
22,Room,no_evident_not_brand_new,minibar_could_be_empty,
23,Room,no_evident_not_calm_room,distorted_image,
24,Room,no_evident_not_calm_room,no_trash_can_in_room,
25,Room,no_evident_not_calm_room,sharp_corners,
26,Room,no_evident_not_cheap_bar,lukewarm_water,
27,Room,no_evident_not_cheap_bar,warm_blanket,
28,Room,no_evident_not_clean_bed,good_evening,
29,Room,no_evident_not_clean_bed,insufficient_water,
30,Room,no_evident_not_clean_bed,less_convenient_toilet,
31,Room,no_evident_not_clean_modern_bathroom,incredible_hot,
32,Room,no_evident_not_clean_modern_bathroom,insufficient_water,
33,Room,no_evident_not_clean_modern_bathroom,swimsuit_drying_problem,
34,Room,no_evident_not_clean_room,corridor,
35,Room,no_evident_not_clean_room,hand_soap,
36,Room,no_evident_not_clean_room,near_airport,
37,Room,no_evident_not_clean_room,open_window_required,
38,Room,no_evident_not_clean_room,sealing_problem,
39,Room,no_evident_not_close_to_airport,no_clothes_dryer,
40,Room,no_evident_not_coffee_facilities,emanating_from_terrace,
41,Room,no_evident_not_comfortable_bed,difficult_to_sign_out,
42,Room,no_evident_not_comfortable_bed,no_soundproofing,
43,Room,no_evident_not_comfortable_bed,slippery_room,
44,Room,no_evident_not_comfortable_mattress,small_corner,
45,Room,no_evident_not_comfortable_mattresses,warm_blanket,
46,Room,no_evident_not_comfortable_stay,fresh_towels_needed,
47,Room,no_evident_not_comfortable_stay,no_shower_gel,
48,Room,no_evident_not_comfy_bed,cleaned_room,
49,Room,no_evident_not_comfy_bed,no_clothes_dryer,
50,Room,no_evident_not_comfy_bed,no_smart_tv,
51,Room,no_evident_not_comfy_bedding,sweaty_room,
52,Room,no_evident_not_comfy_beds,improper_shower,
53,Room,no_evident_not_comfy_room,insufficient_towels,
54,Room,no_evident_not_comfy_room,sewage_room,
55,Room,no_evident_not_comfy_room,weirdly_placed_mirror,
56,Room,no_evident_not_compact_room,making,
57,Room,no_evident_not_contemporary_style,outside_noise,
58,Room,no_evident_not_cosy_room,full_of_dust,
59,Room,no_evident_not_cozy,for_family,
60,Room,no_evident_not_cozy,hot_shower,
61,Room,no_evident_not_cozy_room,shower_glass_door,
62,Room,no_evident_not_daily_change_of_towels,not_nice,
63,Room,no_evident_not_daily_cleaning,no_clothes_dryer,
64,Room,no_evident_not_double_bed,back_door_balcony_would_not_lock,
65,Room,no_evident_not_easy_setup,full_of_dust,
66,Room,no_evident_not_easy_setup,no_hanger_rod,
67,Room,no_evident_not_electricity_outlets_in_room,misleading_photos,
68,Room,no_evident_not_enough_for_family_with_3_children,difficult_to_sign_out,
69,Room,no_evident_not_enough_for_family_with_3_children,shower_glass_door,
70,Room,no_evident_not_equipped_kettle,acceptable_room,
71,Room,no_evident_not_excellent_clean_bedding,refurbish_balcony_furniture_set,
72,Room,no_evident_not_excellent_cleaning,no_body_soap,
73,Room,no_evident_not_excellent_value_for_money,noise,
