ID,Prompt,PhraseA,PhraseB,Test 2
5,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is staff_need_improve_collaboration. Phrase A is no_evident_not_helpful_staff.
",no_evident_not_helpful_staff,staff_need_improve_collaboration,Yes
18,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is staff_has_unaceptable_manner. Phrase A is no_evident_not_helpful_staff.
",no_evident_not_helpful_staff,staff_has_unaceptable_manner,Yes
27,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is staff_need_improve_organization. Phrase A is no_evident_not_easy_to_communicate_with.
",no_evident_not_easy_to_communicate_with,staff_need_improve_organization,Yes
30,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is not_kind_staff. Phrase A is no_evident_not_easy_to_communicate_with.
",no_evident_not_easy_to_communicate_with,not_kind_staff,Yes
54,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is no_empathy_staff. Phrase A is no_evident_not_nice_staff.
",no_evident_not_nice_staff,no_empathy_staff,Yes
59,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is staff_not_justify_booking_issue. Phrase A is no_evident_not_nice_staff.
",no_evident_not_nice_staff,staff_not_justify_booking_issue,Yes
65,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is staff_not_speak_Cypriot_language. Phrase A is no_evident_not_nice_staff.
",no_evident_not_nice_staff,staff_not_speak_Cypriot_language,Yes
77,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is no_empathy_staff. Phrase A is no_evident_not_great_staff.
",no_evident_not_great_staff,no_empathy_staff,Yes
80,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is staff_cannot_provide_double_bed. Phrase A is no_evident_not_great_staff.
",no_evident_not_great_staff,staff_cannot_provide_double_bed,No
95,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is staff_should_learn_better_English. Phrase A is no_evident_not_lovely_staff.
",no_evident_not_lovely_staff,staff_should_learn_better_English,Yes
