Review ID,Valid,Topic,Selected Content,Sentiment,Errors
1,True,Room,"New, comfortable apartments",Positive,
1,True,Room,to very clean beach,Positive,
1,True,Staff,Staff is extremely helpful and easy to communicate with ,Positive,
1,True,Food,Tasty food on the first floor,Positive,
1,True,Food,comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday,Positive,
2,False,Room,"The room was very clean, well decorated and modern, although not big.",Positive,
2,False,Room,"I like hotels with a family atmosphere, cozy and not big.",Negative,
2,False,Staff,The staff was very nice and helpful!,Positive,
2,False,Staff,all staff was very kind and helpful.,Positive,
2,False,Food,"Also, the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus.",Positive,
3,False,Room,the room was clean.,Positive,
3,False,Location,the location is great and near the airport.,Positive,
3,False,Location,bus stop is very close.,Positive,
4,True,Room,Clean,Positive,
4,True,Price,Great Quality/price,Positive,
5,True,Room,new,Positive,
5,True,Room,modern,Positive,
5,True,Room,spotless,Positive,
5,True,Staff,lovely management,Positive,
5,True,Location,in a very convenient location,Positive,
5,True,Location,a great beach,Positive,
6,False,Room,The room was exceptionally clean with a really comfortable bed,Positive,
7,False,Room,The room was spotless.,Positive,
8,True,Room,"renovated,",Negative,
8,True,Staff,lovely personal,Positive,
8,True,Location,nice location,Positive,
9,True,Staff,such helpful hosts.helped us with map .helps with looking after luggage.patient and understanding,Positive,
9,True,Food,couldn't eat breakfast due to dietary restrictions-but very helpful host showed us how nearby bus takes to town-cntre (and airport by the way so no need for 21 euro taxi),Positive,
10,True,Room,comfortable bed,Positive,
10,True,Location,quiet location,Positive,
11,True,Room,The rooms are spacious and clean great to stay ..,Positive,
11,True,Staff,Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... ,Positive,
11,True,Staff,"Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile ",Positive,
11,True,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,Positive,
11,True,Food,Oh yeah the food is great to and very reasonable prices ..,Positive,
12,False,Room,The room was lovely.,Positive,
12,False,Staff,The staff were exceptional.,Positive,
12,False,Staff,So helpful and friendly.,Positive,
12,False,Staff,Went out of their way for us.,Positive,
12,False,Food,The breakfast was lovely with room service too.,Positive,
13,True,Room,"The rooms are lovely and new, very clean and comfortable.",Positive,
13,True,Room,The mattress was to my taste.,Positive,
13,True,Staff,"The staff are so welcoming, we felt like staying with family.",Positive,
13,True,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",Positive,
14,True,Room,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair.,Positive,
14,True,Room,"The receptionist didn't speak English properly, and you have a feeling that people are living in the hotel, rather than staying at a hotel.",Negative,
14,True,Staff,"The receptionist didn't speak English properly, and you have a feeling that people are living in the hotel, rather than staying at a hotel.",Negative,
14,True,Location,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair.,Positive,
14,True,Location,There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,Positive,
15,False,Staff,The staff make it,Positive,
15,False,Location,yet could have a stroll along the nearby beach.,Negative,
15,False,Location,particularly reception and the dining room.,Positive,
15,False,Food,The kitchen is excellent,Positive,
16,True,Room,"they are spacious, clean, the window view is nice too.",Positive,
16,True,Food,"the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",Positive,
17,True,Room,Our room had a balcony with great view of the sea and surrounding area.,Positive,
17,True,Staff,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,Positive,
17,True,Location,close to sandy beach,Positive,
17,True,Location,and the airport,Positive,
18,True,Staff,with extremely friendly reception and dining staff,Positive,
18,True,Location,Bus every 20 minutes to the centre of Larnaka.,Negative,
18,True,Food,Meals well prepared and good value.,Positive,
19,False,Room,The room was spotless.,Positive,
19,False,Location,Close to airport.,Positive,
20,False,Room,"New, comfortable apartments, close to the airport",Positive,
20,False,Room,The room was spotless.,Positive,
20,False,Staff,"so comfortable, clean, friendly staff",Positive,
20,False,Staff,Staff is extremely helpful and easy to communicate with ,Positive,
20,False,Location,Great location for restaurants,Positive,
20,False,Location,Close to airport,,
20,False,Food,"Tasty food on the first floor, comfortable restaurant",Negative,
20,False,Food,Nothing at all.,,
