ID,Prompt,PhraseA,PhraseB,Test 3
1,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is unlabeled_shampoo_dispenser_for_this_price. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,unlabeled_shampoo_dispenser_for_this_price,No
2,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is shampoo_seem_cheap_considering_hotel_cost. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,shampoo_seem_cheap_considering_hotel_cost,No
3,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is guesthouse_but_price_like_hotel. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,guesthouse_but_price_like_hotel,No
4,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is for_money_you_pay_you_get_one_small_water_bottle. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,for_money_you_pay_you_get_one_small_water_bottle,No
5,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is expensive_for_what_you_get. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,expensive_for_what_you_get,Yes
6,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is expensive_rate_for_what_offer. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,expensive_rate_for_what_offer,No
7,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is overpriced_for_facility. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,overpriced_for_facility,No
8,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is meal_not_include_in_price. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,meal_not_include_in_price,No
9,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is high_price_for_not_enough_comfort_room. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,high_price_for_not_enough_comfort_room,No
10,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is high_price_for_small_room. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,high_price_for_small_room,No
11,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is expensive_hotel. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,expensive_hotel,No
12,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is expensive_for_average_hotel. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,expensive_for_average_hotel,No
13,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is expensive_for_3_star_hotel. Phrase A is no_evident_not_great_quality.
",no_evident_not_great_quality,expensive_for_3_star_hotel,No
14,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is unlabeled_shampoo_dispenser_for_this_price. Phrase A is no_evident_not_great_price.
",no_evident_not_great_price,unlabeled_shampoo_dispenser_for_this_price,Yes
