ID,Topic,Original A,B,Vote
1,Facility,no_evident_not_5_star_facilities,excellent_inside,
2,Facility,no_evident_not_5_star_facilities,slow_elevators,
3,Facility,no_evident_not_Cyprus,improvement_needed,
4,Facility,no_evident_not_aesthetic_place,not_big,
5,Facility,no_evident_not_aesthetic_place,tiny_pool,
6,Facility,no_evident_not_affordable_hotel,dirty_pool,
7,Facility,no_evident_not_affordable_hotel,pool_could_be_bigger,
8,Facility,no_evident_not_airy_hotel,not_easy_to_access_entry,
9,Facility,no_evident_not_all,warm_inviting_atmosphere,
10,Facility,no_evident_not_allowed_to_stay_with_animals,small_pool,
11,Facility,no_evident_not_along_street,no_kiosk,
12,Facility,no_evident_not_amazing_place,common_areas_need_renovation,
13,Facility,no_evident_not_amazing_place,parking_area,
14,Facility,no_evident_not_are_new,cleaning_needed,
15,Facility,no_evident_not_are_new,only_parking,
16,Facility,no_evident_not_are_new,slamming_main_door,
17,Facility,no_evident_not_are_new,yet_open,
18,Facility,no_evident_not_beautiful_hotel,closed_pool,
19,Facility,no_evident_not_beautiful_property,no_street_parking,
20,Facility,no_evident_not_beautifully_kept_hotel,no_parking_lot,
21,Facility,no_evident_not_bottom_of_hotel,cleaning_needed,
22,Facility,no_evident_not_boutique_hotel,hole_pool,
23,Facility,no_evident_not_boutique_hotel,no_billiards,
24,Facility,no_evident_not_brand_new,trip_possible,
25,Facility,no_evident_not_bright_room,not_big,
26,Facility,no_evident_not_brilliant_family_hotel,bad_side,
27,Facility,no_evident_not_brilliant_family_hotel,convenient_parking,
28,Facility,no_evident_not_brilliant_family_hotel,night_lights_didnt_work,
29,Facility,no_evident_not_brilliant_family_hotel,not_even_considered_hotel,
30,Facility,no_evident_not_brilliant_family_hotel,open_air_car_park,
31,Facility,no_evident_not_brilliant_family_hotel,remove_pool,
32,Facility,no_evident_not_christmas_vibes,no_parking,
33,Facility,no_evident_not_christmas_vibes,not_even_considered_hotel,
34,Facility,no_evident_not_clean,on_the_outside,
35,Facility,no_evident_not_clean,tiny_pool,
36,Facility,no_evident_not_clean_accommodation,pool_could_be_bigger,
37,Facility,no_evident_not_clean_boutique_hotel,have_pool,
38,Facility,no_evident_not_clean_boutique_hotel,no_facility,
39,Facility,no_evident_not_clean_boutique_hotel,open_air_car_park,
40,Facility,no_evident_not_clean_boutique_hotel,renovation_could_be_better,
41,Facility,no_evident_not_clean_boutique_hotel,young_hotel,
42,Facility,no_evident_not_clean_building,dangerous_ramp,
43,Facility,no_evident_not_clean_building,not_even_considered_hotel,
44,Facility,no_evident_not_clean_building,open_air_car_park,
45,Facility,no_evident_not_clean_building,small_pool,
46,Facility,no_evident_not_clean_establishment,lack_of_pool,
47,Facility,no_evident_not_clean_establishment,not_convenient,
48,Facility,no_evident_not_clean_facility,no_hotel,
49,Facility,no_evident_not_clean_hotel,slamming_main_door,
50,Facility,no_evident_not_clean_hotel,small_pool,
51,Facility,no_evident_not_clean_lobby,head_bumped,
52,Facility,no_evident_not_clean_lobby,nearby,
53,Facility,no_evident_not_clean_place,dirty_pool,
54,Facility,no_evident_not_clean_property,not_easy_to_access_entry,
55,Facility,no_evident_not_clean_reception,dirty_pool,
56,Facility,no_evident_not_clean_room,pool_could_be_bigger,
57,Facility,no_evident_not_clean_veranda,no_parking,
58,Facility,no_evident_not_clean_veranda,parking_area,
59,Facility,no_evident_not_clean_veranda,tiny_pool,
60,Facility,no_evident_not_close_to_airport,difficult_to_find_parking_spot,
61,Facility,no_evident_not_comfortable_hotel,convenient_parking,
62,Facility,no_evident_not_comfortable_hotel,elevator_needs_renovation,
63,Facility,no_evident_not_comfortable_hotel,not_always_easy,
64,Facility,no_evident_not_comfortable_hotel,real_odyssey_to_park,
65,Facility,no_evident_not_comfortable_place,no_24_hour_reception,
66,Facility,no_evident_not_comfortable_place,slamming_main_door,
67,Facility,no_evident_not_comfortable_room,lack_of_pool,
68,Facility,no_evident_not_comfortable_room,no_billiards,
69,Facility,no_evident_not_compact_room,broken_lift,
70,Facility,no_evident_not_contemporary_hotel,easy_parking,
71,Facility,no_evident_not_contemporary_hotel,lack_of_pool,
72,Facility,no_evident_not_convenient,broken_lift,
73,Facility,no_evident_not_convenient,convenient_parking,
74,Facility,no_evident_not_convenient,fixable_facility,
75,Facility,no_evident_not_cosy_room,internet_issue,
76,Facility,no_evident_not_cozy_courtyard,no_hotel,
77,Facility,no_evident_not_cozy_courtyard,useful_beach Towel_services,
78,Facility,no_evident_not_cozy_hotel,no_hotel,
79,Facility,no_evident_not_cozy_hotel,slow_elevators,
80,Facility,no_evident_not_cozy_terrace,unsafe_ramp,
81,Facility,no_evident_not_delicious_food,unsafe_ramp,
82,Facility,no_evident_not_dog_allowed,no_parking,
83,Facility,no_evident_not_dog_allowed,no_swimming_pool,
84,Facility,no_evident_not_everything_clean,useful_beach Towel_services,
85,Facility,no_evident_not_everything_was_expected,no_24_hour_reception,
86,Facility,no_evident_not_everything_was_expected,no_facility,
87,Facility,no_evident_not_everything_was_expected,only_parking,
88,Facility,no_evident_not_exceeded_expectations,poor_view,
89,Facility,no_evident_not_excellent_option,renovation_could_be_better,
90,Facility,no_evident_not_family_atmosphere,not_big,
91,Facility,no_evident_not_family_atmosphere,steep_facility,
92,Facility,no_evident_not_family_establishment,old_furniture,
93,Facility,no_evident_not_family_establishment,remove_pool,
94,Facility,no_evident_not_family_establishment,yet_open,
95,Facility,no_evident_not_family_run_hotel,no_swimming_pool,
96,Facility,no_evident_not_family_run_hotel,open_air_car_park,
97,Facility,no_evident_not_fantastic_hotel,lack_of_pool,
98,Facility,no_evident_not_fantastic_hotel,poor_view,
99,Facility,no_evident_not_fantastic_service,cold_swim,
100,Facility,no_evident_not_fantastic_service,no_tight_door,
101,Facility,no_evident_not_fantastic_service,poor_view,
102,Facility,no_evident_not_flexible_schedule,head_bumped,
103,Facility,no_evident_not_free_parking,excellent_inside,
104,Facility,no_evident_not_fresh_hotel,head_bumped,
105,Facility,no_evident_not_freshened_hotel,excellent_inside,
106,Facility,no_evident_not_friendly_atmosphere,disgusting_facility,
107,Facility,no_evident_not_friendly_hotel,remove_pool,
108,Facility,no_evident_not_friendly_hotel,unsafe_ramp,
109,Facility,no_evident_not_friendly_staff,beach_towel_services,
110,Facility,no_evident_not_friendly_staff,no_kiosk,
111,Facility,no_evident_not_friendly_staff,pool_could_be_cleaner,
112,Facility,no_evident_not_good,night_lights_didnt_work,
113,Facility,no_evident_not_good,no_billiards,
114,Facility,no_evident_not_good_accommodation,limited_parking,
115,Facility,no_evident_not_good_availability,not_convenient,
116,Facility,no_evident_not_good_facility,pleasant_stay,
117,Facility,no_evident_not_good_hotel,lack_of_pool,
118,Facility,no_evident_not_good_hotel,old_furniture,
119,Facility,no_evident_not_good_place,badly_maintained_hotel,
120,Facility,no_evident_not_good_place,excellent_inside,
121,Facility,no_evident_not_good_place,no_deckchairs,
122,Facility,no_evident_not_good_place,not_perfect,
123,Facility,no_evident_not_good_quality_hotel,cold_swim,
124,Facility,no_evident_not_good_reason,close_to_hotel,
125,Facility,no_evident_not_good_reason,no_24_hour_reception,
126,Facility,no_evident_not_good_reason,open_air_car_park,
127,Facility,no_evident_not_good_reason,renovation_needed,
128,Facility,no_evident_not_good_restaurant,cold_property,
129,Facility,no_evident_not_good_restaurant,disgusting_facility,
130,Facility,no_evident_not_good_view,hotel_could_be_better,
131,Facility,no_evident_not_good_view,steep_facility,
132,Facility,no_evident_not_great_accommodation,doorway_could_be_smaller,
133,Facility,no_evident_not_great_accommodation,not_always_easy,
134,Facility,no_evident_not_great_accommodation,not_even_considered_hotel,
135,Facility,no_evident_not_great_facility,cold_property,
136,Facility,no_evident_not_great_holiday,common_areas_need_renovation,
