Timestamp,Run,ID,PhraseA,PhraseB,Prompt,RawOutput
2026-08-16 21:49:27,3,4405,have_evident_not_encourage_to_use_deckchair,limited_facility,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is limited_facility. Phrase A is have_evident_not_encourage_to_use_deckchair.
",Yes
2026-08-16 21:49:27,3,1747,have_evident_low_doorway_leading_to_elevator,not_easy_parking,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is not_easy_parking. Phrase A is have_evident_low_doorway_leading_to_elevator.
",Yes
2026-08-16 21:49:27,3,564,have_evident_nothing_to_do,head_bump_doorway,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is head_bump_doorway. Phrase A is have_evident_nothing_to_do.
",Yes
2026-08-16 21:49:28,3,1086,have_evident_no_safety_strip_on_stair,main_door_not_close,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is main_door_not_close. Phrase A is have_evident_no_safety_strip_on_stair.
",Yes
2026-08-16 21:49:28,3,2002,have_evident_steep_ramp,better_remove_pool_photo,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is better_remove_pool_photo. Phrase A is have_evident_steep_ramp.
",Yes
2026-08-16 21:49:28,3,2173,have_evident_limited_parking,not_EU_regulation_ramp,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is not_EU_regulation_ramp. Phrase A is have_evident_limited_parking.
",Yes
2026-08-16 21:49:28,3,4145,have_evident_young_hotel,pool_close,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is pool_close. Phrase A is have_evident_young_hotel.
",No
2026-08-16 21:49:28,3,2860,have_evident_feel_cold_inviting,badly_maintain_hotel_installation,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is badly_maintain_hotel_installation. Phrase A is have_evident_feel_cold_inviting.
",Yes
2026-08-16 21:49:29,3,3028,have_evident_badly_maintain_hotel_installation,not_convenient_parking,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is not_convenient_parking. Phrase A is have_evident_badly_maintain_hotel_installation.
",Yes
2026-08-16 21:49:29,3,2335,have_evident_no_designated_parking,old_furniture,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Do not provide any extra text.

[Question] Phrase B is old_furniture. Phrase A is have_evident_no_designated_parking.
",No
