ID,Topic,Original A,B,Vote
1,Location,no_evident_not_accessible,no_noise_at_night,
2,Location,no_evident_not_air_conditioned,far_from_town,
3,Location,no_evident_not_alyki_beach_club,trek,
4,Location,no_evident_not_anywhere_in_city,unfriendly_environment,
5,Location,no_evident_not_around_corner,close_to_airport,
6,Location,no_evident_not_around_corner,noise_location,
7,Location,no_evident_not_around_corner,smell_of_jet_fuel,
8,Location,no_evident_not_bars,hard_to_find,
9,Location,no_evident_not_beach,impression,
10,Location,no_evident_not_beach,stinky_city,
11,Location,no_evident_not_beach_strip,bad_smell,
12,Location,no_evident_not_beachside_cafes,loud_location,
13,Location,no_evident_not_beachside_cafes,no_noise_at_night,
14,Location,no_evident_not_beautiful_beach,trek,
15,Location,no_evident_not_beautiful_mackenzie_beach,aircraft_noise,
16,Location,no_evident_not_beside_airport,bad_location,
17,Location,no_evident_not_beside_airport,small_street,
18,Location,no_evident_not_between_beach,sewage_outside,
19,Location,no_evident_not_brilliant_location,garbage_street,
20,Location,no_evident_not_brilliant_location,no_food,
21,Location,no_evident_not_brilliant_location,no_nearby_location,
22,Location,no_evident_not_brilliant_location,under_construction,
23,Location,no_evident_not_bus_stop_for_airport,bumpy_roads,
24,Location,no_evident_not_bus_stops_nearby,unfortunate_location,
25,Location,no_evident_not_cafes,bad_base,
26,Location,no_evident_not_cafes,far_from_major_tourist_spots,
27,Location,no_evident_not_calm_area,airport_noise,
28,Location,no_evident_not_calm_area,farther,
29,Location,no_evident_not_calm_area,lovely_restaurants,
30,Location,no_evident_not_center,unfriendly_environment,
31,Location,no_evident_not_central_location,far_from_beach,
32,Location,no_evident_not_clean,not_exciting_surroundings,
33,Location,no_evident_not_clean_beach,far_location,
34,Location,no_evident_not_clean_beach,near_beach,
35,Location,no_evident_not_clean_hotel,no_noise,
36,Location,no_evident_not_clean_hotel,noise_outside,
37,Location,no_evident_not_clean_location,walk_along_beach_promenade,
38,Location,no_evident_not_clean_sea,large_lorry_noise,
39,Location,no_evident_not_clean_sea,stinky_city,
40,Location,no_evident_not_close_to_airport,area,
41,Location,no_evident_not_close_to_airport,impression,
42,Location,no_evident_not_close_to_bars,garbage_street,
43,Location,no_evident_not_close_to_bars,no_noise_at_night,
44,Location,no_evident_not_close_to_beach,bad_smell,
45,Location,no_evident_not_close_to_beach,on_the_edge,
46,Location,no_evident_not_close_to_bus_stop,far_from_sea,
47,Location,no_evident_not_close_to_bus_stop,garbage_heap_in_bin,
