ID,Topic,Original A,B,Vote
1,Food,no_evident_not_5_star_food,eat_what_they_bring,
2,Food,no_evident_not_5_star_food,no_ordinary_tea,
3,Food,no_evident_not_Richard_staff,lavish,
4,Food,no_evident_not_Richard_staff,slow_service,
5,Food,no_evident_not_above_expectations,al_Earl_Grey,
6,Food,no_evident_not_accommodating,monotonous_breakfast,
7,Food,no_evident_not_amazing_food,not_great,
8,Food,no_evident_not_at_restaurant,bad_croissant,
9,Food,no_evident_not_at_restaurant,no_bar,
10,Food,no_evident_not_at_restaurant,no_cereal,
11,Food,no_evident_not_available_if_required,high_price,
12,Food,no_evident_not_available_if_required,low_quality_breakfast,
13,Food,no_evident_not_available_if_required,no_breakfast_included,
14,Food,no_evident_not_available_if_required,start_at_7_rather_than_8,
15,Food,no_evident_not_awesome_staff,monotonous_breakfast,
16,Food,no_evident_not_beautiful_setting,bad_breakfast,
17,Food,no_evident_not_beautiful_setting,lavish,
18,Food,no_evident_not_beautiful_setting,no_quality,
19,Food,no_evident_not_best_club_sandwich,low_value,
20,Food,no_evident_not_best_fish,bad_breakfast,
21,Food,no_evident_not_best_fish,frugal_breakfast,
22,Food,no_evident_not_best_fish,poor_meal,
23,Food,no_evident_not_breakfast_is_delicious,eat_what_they_bring,
24,Food,no_evident_not_breakfast_is_delicious,frugal_breakfast,
25,Food,no_evident_not_breakfast_is_delicious,no_bar,
26,Food,no_evident_not_cafe,low_quality_breakfast,
27,Food,no_evident_not_cafe,stodgy_pizza,
28,Food,no_evident_not_chicken_burger_is_exceptional,not_included_in_price,
29,Food,no_evident_not_chicken_burger_is_exceptional,slow_service,
30,Food,no_evident_not_clean,slow_food,
31,Food,no_evident_not_close_to_airport,not_great,
32,Food,no_evident_not_comfortable_restaurant,no_breakfast_option,
33,Food,no_evident_not_community,no_more_breakfast_options,
34,Food,no_evident_not_community,tasty_food,
35,Food,no_evident_not_cosy_place,not_a_bar_or_restaurant,
36,Food,no_evident_not_cosy_place,tasty_food,
37,Food,no_evident_not_decent_food,no_more_breakfast_options,
38,Food,no_evident_not_decent_food,slow_service,
39,Food,no_evident_not_delicious_dinner,below_average_breakfast,
40,Food,no_evident_not_delicious_dinner,no_big_breakfast_variety,
41,Food,no_evident_not_delicious_dishes,no_breakfast,
42,Food,no_evident_not_delicious_dishes,no_more_restaurants,
43,Food,no_evident_not_delicious_dishes,start_at_7_rather_than_8,
44,Food,no_evident_not_delicious_food,al_Earl_Grey,
45,Food,no_evident_not_delish_meals,good_breakfast,
46,Food,no_evident_not_directly_at_hotel,no_big_breakfast_variety,
47,Food,no_evident_not_directly_at_hotel,no_breakfast_buffet,
48,Food,no_evident_not_directly_at_hotel,no_cereal,
49,Food,no_evident_not_early_breakfast,no_breakfast_included,
50,Food,no_evident_not_easy_choice,no_more_restaurants,
51,Food,no_evident_not_eat,no_breakfast_option,
52,Food,no_evident_not_eat,no_more_breakfast_options,
53,Food,no_evident_not_eat,no_ordinary_tea,
54,Food,no_evident_not_eat_at_jasmine_garden,not_a_bar_or_restaurant,
55,Food,no_evident_not_enjoying_food,no_more_breakfast_options,
56,Food,no_evident_not_enjoying_food,served_food,
57,Food,no_evident_not_enormous_size,narrow_choices,
58,Food,no_evident_not_everything_in_cafe,limited_food_options,
59,Food,no_evident_not_excellent_breakfast,monotonous_breakfast,
60,Food,no_evident_not_excellent_breakfast,no_big_breakfast_variety,
61,Food,no_evident_not_excellent_breakfast,no_more_variety,
62,Food,no_evident_not_excellent_breakfast,slow_service,
63,Food,no_evident_not_excellent_chef,no_meal,
64,Food,no_evident_not_excellent_cuisine,frugal_breakfast,
65,Food,no_evident_not_excellent_cuisine,poor_lunch,
66,Food,no_evident_not_excellent_food,bad_breakfast,
67,Food,no_evident_not_excellent_meals_in_restaurant,narrow_choices,
68,Food,no_evident_not_excellent_meals_in_restaurant,no_bar,
69,Food,no_evident_not_excellent_pizza,frugal_breakfast,
70,Food,no_evident_not_excellent_pizza,no_cereal,
71,Food,no_evident_not_excellent_staff,no_bar,
72,Food,no_evident_not_exceptional_breakfast,stodgy_pizza,
73,Food,no_evident_not_external_balcony,no_breakfast_buffet,
74,Food,no_evident_not_fabulous_food,ask_for_bread,
